Date,Open,High,Low,Close,Adj Close,Volume
2015-01-26,113.739998,114.360001,112.800003,113.099998,104.230232,55615000
2015-01-27,112.419998,112.480003,109.029999,109.139999,100.580803,95568700
2015-01-28,117.629997,118.120003,115.309998,115.309998,106.266914,146477100
2015-01-29,116.320000,119.190002,115.559998,118.900002,109.575378,84436400
2015-01-30,118.400002,120.000000,116.849998,117.160004,107.971832,83745500
2015-02-02,118.050003,119.169998,116.080002,118.629997,109.326523,62739100
2015-02-03,118.500000,119.089996,117.610001,118.650002,109.344986,51915700
2015-02-04,118.500000,120.510002,118.309998,119.559998,110.183594,70149700
2015-02-05,120.019997,120.230003,119.250000,119.940002,110.970047,42246200
2015-02-06,120.019997,120.250000,118.449997,118.930000,110.035568,43706600
2015-02-09,118.550003,119.839996,118.430000,119.720001,110.766510,38889800
2015-02-10,120.169998,122.150002,120.160004,122.019997,112.894493,62008500
2015-02-11,122.769997,124.919998,122.500000,124.879997,115.540604,73561800
2015-02-12,126.059998,127.480003,125.570000,126.459999,117.002419,74474500
2015-02-13,127.279999,127.279999,125.650002,127.080002,117.576057,54272200
2015-02-17,127.489998,128.880005,126.919998,127.830002,118.269974,63152400
2015-02-18,127.629997,128.779999,127.449997,128.720001,119.093430,44891700
2015-02-19,128.479996,129.029999,128.330002,128.449997,118.843582,37362400
2015-02-20,128.619995,129.500000,128.050003,129.500000,119.815071,48948400
2015-02-23,130.020004,133.000000,129.660004,133.000000,123.053322,70974100
2015-02-24,132.940002,133.600006,131.169998,132.169998,122.285408,69228100
2015-02-25,131.559998,131.600006,128.149994,128.789993,119.158165,74711700
2015-02-26,128.789993,130.869995,126.610001,130.419998,120.666290,91287500
2015-02-27,130.000000,130.570007,128.240005,128.460007,118.852852,62014800
2015-03-02,129.250000,130.279999,128.300003,129.089996,119.435738,48096700
2015-03-03,128.960007,129.520004,128.089996,129.360001,119.685532,37816300
2015-03-04,129.100006,129.559998,128.320007,128.539993,118.926880,31666300
2015-03-05,128.580002,128.750000,125.760002,126.410004,116.956177,56517100
2015-03-06,128.399994,129.369995,126.260002,126.599998,117.131958,72842100
2015-03-09,127.959999,129.570007,125.059998,127.139999,117.631577,88528500
2015-03-10,126.410004,127.220001,123.800003,124.510002,115.198265,68856600
2015-03-11,124.750000,124.769997,122.110001,122.239998,113.098038,68939000
2015-03-12,122.309998,124.900002,121.629997,124.449997,115.142754,48362700
2015-03-13,124.400002,125.400002,122.580002,123.589996,114.347054,51827300
2015-03-16,123.879997,124.949997,122.870003,124.949997,115.605362,35874300
2015-03-17,125.900002,127.320000,125.650002,127.040001,117.539047,51023100
2015-03-18,127.000000,129.160004,126.370003,128.470001,118.862114,65270900
2015-03-19,128.750000,129.250000,127.400002,127.500000,117.964661,45809500
2015-03-20,128.250000,128.399994,125.160004,125.900002,116.484314,68695100
2015-03-23,127.120003,127.849998,126.519997,127.209999,117.696320,37709700
2015-03-24,127.230003,128.039993,126.559998,126.690002,117.215256,32842300
2015-03-25,126.540001,126.820000,123.379997,123.379997,114.152763,51655200
2015-03-26,122.760002,124.879997,122.599998,124.239998,114.948456,47572900
2015-03-27,124.570000,124.699997,122.910004,123.250000,114.032494,39546200
2015-03-30,124.050003,126.400002,124.000000,126.370003,116.919159,47099700
2015-03-31,126.089996,126.489998,124.360001,124.430000,115.124252,42090600
2015-04-01,124.820000,125.120003,123.099998,124.250000,114.957703,40621400
2015-04-02,125.029999,125.559998,124.190002,125.320000,115.947678,32220100
